Change	Time (sec)	Delay(uSec)	Angle(deg)	Error(arcsec)	
	415.767040	5491	13.47648089165392747569	7.10278630501960113290	0.00086020250250080965
	417.172736	5491	13.48235423034929035893	7.10586509289838901167	0.00168726775122390527
	418.578432	5491	13.48822760259199043074	7.10894388077717689044	0.00263510341382520667
	419.984128	5491	13.49410100840071339168	7.11202266865596476920	0.00370377675882657109
	421.389824	5492	13.49997444779414117882	7.11510145653475264841	0.00104283742363466101
	422.795776	5492	13.50584792079095208025	7.11818024441354052717	-0.00149712973234500347
	424.201728	5491	13.51172142740982070816	7.12125903229232840594	-0.00006553986293757487
	425.607424	5491	13.51759496766941803011	7.12433782017111628471	0.00148715662976167923
	427.013120	5491	13.52346854158841134470	7.12741660804990416348	0.00316102694803739063
	428.418816	5492	13.52934214918546429896	7.13049539592869204225	0.00110562066344755826
	429.824768	5492	13.53521579047923693515	7.13357418380747992145	-0.00082847743028603216
	431.230720	5492	13.54108946548838566127	7.13665297168626780022	-0.00264120017009275172
	432.636672	5491	13.54696317423156323462	7.13973175956505567898	-0.00048196278849132264
	434.042368	5491	13.55283691672741891703	7.14281054744384355775	0.00179878423431086298
	435.448064	5492	13.55871069299459826321	7.14588933532263143652	0.00035059040473317451
	436.854016	5492	13.56458450305174331073	7.14896812320141931529	-0.00097595954831975980
	438.259968	5492	13.57045834691749253663	7.15204691108020719405	-0.00218079852633170006
	439.665920	5492	13.57633222461048081407	7.15512569895899507282	-0.00326385944375710592
	441.071872	5491	13.58220613614933948085	7.15820448683778295202	-0.00037455761021488590
	442.477568	5491	13.58808008155269635587	7.16128327471657083079	0.00263665641687836057
	443.883264	5492	13.59395406083917569578	7.16436206259535870956	0.00191933206727790041
	445.289216	5492	13.59982807402739826350	7.16744085047414658833	0.00132405399329694004
	446.695168	5492	13.60570212113598128484	7.17051963835293446710	0.00085088921694975063
	448.101120	5492	13.61157620218353849796	7.17359842623172234586	0.00049990474769362442
	449.507072	5492	13.61745031718868017504	7.17667721411051022506	0.00027116758250714610
	450.913024	5492	13.62332446617001304161	7.17975600198929810383	0.00016474470560226571
	452.318976	5492	13.62919864914614041622	7.18283478986808598260	0.00018070308892747230
	453.724928	5492	13.63507286613566211325	7.18591357774687386137	0.00031910969180998152
	455.130880	5492	13.64094711715717452537	7.18899236562566174014	0.00058003146127161691
	456.536832	5492	13.64682140222927057317	7.19207115350444961890	0.00096353533181915418
	457.942784	5492	13.65269572137053978589	7.19514994138323749767	0.00146968822576020246
	459.348736	5492	13.65857007459956819814	7.19822872926202537644	0.00209855705282023323
	460.754688	5492	13.66444446193493848785	7.20130751714081325564	0.00285020871064016319
	462.160640	5492	13.67031888339522993029	7.20438630501960113441	0.00372471008460862969
	463.566592	5493	13.67619333899901838507	7.20746509289838901318	0.00087161043025421411
	464.972800	5493	13.68206782876487633428	7.21054388077717689194	-0.00185850577391725122
	466.379008	5492	13.68794235271137285214	7.21362266865596477071	-0.00061505406167737205
